step	attack	AUROC
165	homoglyphs	0.9928
165	article_deletion	0.9900
165	misspelling	0.9922
165	number_swap	0.9890
165	whitespace_addition	0.9924
165	upper_lower_swap	0.9915
165	zero_width_space	0.9917
165	insert_paragraphs	0.9853
165	alternative_spelling	0.9880
170	no_attack	0.9857
170	t5_paraphrase	0.9800
170	synonym_replacement	0.9910
170	homoglyphs	0.9939
170	article_deletion	0.9905
170	misspelling	0.9928
170	number_swap	0.9871
170	whitespace_addition	0.9939
170	upper_lower_swap	0.9924
170	zero_width_space	0.9922
170	insert_paragraphs	0.9864
170	alternative_spelling	0.9855
175	no_attack	0.9934
175	t5_paraphrase	1.0000
175	synonym_replacement	0.9956
175	homoglyphs	0.9982
175	article_deletion	0.9954
175	misspelling	0.9971
175	number_swap	0.9941
175	whitespace_addition	0.9978
175	upper_lower_swap	0.9977
175	zero_width_space	0.9976
175	insert_paragraphs	0.9923
175	alternative_spelling	0.9931
180	no_attack	0.9918
180	t5_paraphrase	1.0000
180	synonym_replacement	0.9946
180	homoglyphs	0.9970
180	article_deletion	0.9951
180	misspelling	0.9965
180	number_swap	0.9926
180	whitespace_addition	0.9950
180	upper_lower_swap	0.9961
180	zero_width_space	0.9947
180	insert_paragraphs	0.9897
180	alternative_spelling	0.9916
185	no_attack	0.9853
185	t5_paraphrase	0.9800
185	synonym_replacement	0.9863
185	homoglyphs	0.9902
185	article_deletion	0.9891
185	misspelling	0.9903
185	number_swap	0.9863
185	whitespace_addition	0.9848
185	upper_lower_swap	0.9890
185	zero_width_space	0.9855
185	insert_paragraphs	0.9832
185	alternative_spelling	0.9849
190	no_attack	0.9879
190	t5_paraphrase	0.9800
190	synonym_replacement	0.9908
190	homoglyphs	0.9944
190	article_deletion	0.9913
190	misspelling	0.9931
190	number_swap	0.9890
190	whitespace_addition	0.9900
190	upper_lower_swap	0.9934
190	zero_width_space	0.9907
190	insert_paragraphs	0.9870
190	alternative_spelling	0.9877
195	no_attack	0.9915
195	t5_paraphrase	1.0000
195	synonym_replacement	0.9961
195	homoglyphs	0.9972
195	article_deletion	0.9958
195	misspelling	0.9963
195	number_swap	0.9923
195	whitespace_addition	0.9960
195	upper_lower_swap	0.9970
195	zero_width_space	0.9958
195	insert_paragraphs	0.9913
195	alternative_spelling	0.9912
200	no_attack	0.9927
200	t5_paraphrase	1.0000
200	synonym_replacement	0.9962
200	homoglyphs	0.9977
200	article_deletion	0.9956
200	misspelling	0.9969
200	number_swap	0.9939
200	whitespace_addition	0.9972
200	upper_lower_swap	0.9978
200	zero_width_space	0.9970
200	insert_paragraphs	0.9924
200	alternative_spelling	0.9924
