step	generator	AUROC	TPR_at_1pct_FPR
110	gpt3	0.9932	0.8843
110	gpt4	0.9939	0.9091
110	llama-chat	0.9945	0.8760
110	mistral	0.9890	0.8099
110	mistral-chat	0.9950	0.9008
110	mpt	0.9784	0.5207
110	mpt-chat	0.9927	0.8926
110	MACRO_AVG	0.9895	0.8370
110	GLOBAL_TPR_AT_1FPR	-	0.8370
115	chatgpt	0.9919	0.8017
115	cohere	0.9750	0.7769
115	cohere-chat	0.9909	0.7355
115	gpt2	0.9859	0.8017
115	gpt3	0.9910	0.8182
115	gpt4	0.9918	0.7273
115	llama-chat	0.9924	0.7851
115	mistral	0.9871	0.7851
115	mistral-chat	0.9941	0.8430
115	mpt	0.9785	0.4380
115	mpt-chat	0.9925	0.7769
115	MACRO_AVG	0.9883	0.7536
115	GLOBAL_TPR_AT_1FPR	-	0.8032
120	chatgpt	0.9896	0.6777
120	cohere	0.9781	0.7769
120	cohere-chat	0.9908	0.7190
120	gpt2	0.9848	0.7934
120	gpt3	0.9898	0.8099
120	gpt4	0.9897	0.6364
120	llama-chat	0.9901	0.7521
120	mistral	0.9887	0.8099
120	mistral-chat	0.9918	0.7769
120	mpt	0.9699	0.4132
120	mpt-chat	0.9921	0.7686
120	MACRO_AVG	0.9869	0.7213
120	GLOBAL_TPR_AT_1FPR	-	0.8017
125	chatgpt	0.9926	0.9339
125	cohere	0.9803	0.8512
125	cohere-chat	0.9918	0.8760
125	gpt2	0.9853	0.8347
125	gpt3	0.9935	0.9091
125	gpt4	0.9923	0.9174
125	llama-chat	0.9925	0.9256
125	mistral	0.9910	0.8430
125	mistral-chat	0.9937	0.9421
125	mpt	0.9725	0.6446
125	mpt-chat	0.9934	0.9339
125	MACRO_AVG	0.9890	0.8738
125	GLOBAL_TPR_AT_1FPR	-	0.9204
130	chatgpt	0.9850	0.2066
130	cohere	0.9731	0.3719
130	cohere-chat	0.9852	0.3636
130	gpt2	0.9842	0.5785
130	gpt3	0.9857	0.3884
130	gpt4	0.9842	0.0909
130	llama-chat	0.9846	0.1736
130	mistral	0.9862	0.6116
130	mistral-chat	0.9863	0.3140
130	mpt	0.9749	0.3802
130	mpt-chat	0.9877	0.4793
130	MACRO_AVG	0.9834	0.3599
130	GLOBAL_TPR_AT_1FPR	-	0.4215
135	chatgpt	0.9920	0.9752
135	cohere	0.9755	0.8678
135	cohere-chat	0.9895	0.9256
135	gpt2	0.9832	0.8512
135	gpt3	0.9924	0.9256
135	gpt4	0.9919	0.9752
135	llama-chat	0.9921	0.9752
135	mistral	0.9887	0.8512
135	mistral-chat	0.9926	0.9835
135	mpt	0.9798	0.8182
135	mpt-chat	0.9925	0.9752
135	MACRO_AVG	0.9882	0.9204
135	GLOBAL_TPR_AT_1FPR	-	0.9467
140	chatgpt	0.9840	0.0826
140	cohere	0.9697	0.1488
140	cohere-chat	0.9829	0.2066
140	gpt2	0.9779	0.2645
140	gpt3	0.9845	0.2149
140	gpt4	0.9838	0.0496
140	llama-chat	0.9839	0.0744
140	mistral	0.9828	0.3802
140	mistral-chat	0.9848	0.1570
140	mpt	0.9758	0.2397
140	mpt-chat	0.9855	0.2479
140	MACRO_AVG	0.9814	0.1878
140	GLOBAL_TPR_AT_1FPR	-	0.4207
145	chatgpt	0.9851	0.1901
145	cohere	0.9666	0.1983
145	cohere-chat	0.9840	0.2645
145	gpt2	0.9794	0.3058
145	gpt3	0.9861	0.3223
145	gpt4	0.9846	0.1157
145	llama-chat	0.9852	0.1818
145	mistral	0.9837	0.3554
145	mistral-chat	0.9869	0.3140
145	mpt	0.9717	0.1983
145	mpt-chat	0.9863	0.2645
145	MACRO_AVG	0.9818	0.2464
145	GLOBAL_TPR_AT_1FPR	-	0.8017
150	chatgpt	0.9866	0.3471
150	cohere	0.9705	0.2810
150	cohere-chat	0.9836	0.2975
150	gpt2	0.9807	0.4215
150	gpt3	0.9876	0.4793
150	gpt4	0.9852	0.2066
150	llama-chat	0.9862	0.3058
150	mistral	0.9853	0.4711
150	mistral-chat	0.9872	0.3884
150	mpt	0.9780	0.3306
150	mpt-chat	0.9880	0.4793
150	MACRO_AVG	0.9835	0.3644
150	GLOBAL_TPR_AT_1FPR	-	0.7964
155	chatgpt	0.9878	0.4711
155	cohere	0.9685	0.3802
155	cohere-chat	0.9848	0.3884
155	gpt2	0.9826	0.4793
155	gpt3	0.9878	0.5537
155	gpt4	0.9869	0.3802
155	llama-chat	0.9879	0.4876
155	mistral	0.9850	0.5289
155	mistral-chat	0.9885	0.4959
155	mpt	0.9786	0.3306
155	mpt-chat	0.9883	0.4959
155	MACRO_AVG	0.9842	0.4538
155	GLOBAL_TPR_AT_1FPR	-	0.8633
160	chatgpt	0.9893	0.4793
160	cohere	0.9706	0.3306
160	cohere-chat	0.9868	0.4132
160	gpt2	0.9812	0.3719
160	gpt3	0.9861	0.4380
160	gpt4	0.9895	0.5207
160	llama-chat	0.9898	0.5620
160	mistral	0.9823	0.3636
160	mistral-chat	0.9897	0.4793
160	mpt	0.9757	0.2479
160	mpt-chat	0.9874	0.3554
160	MACRO_AVG	0.9844	0.4147
160	GLOBAL_TPR_AT_1FPR	-	0.8542
165	chatgpt	0.9865	0.3802
165	cohere	0.9715	0.3719
165	cohere-chat	0.9846	0.3719
165	gpt2	0.9815	0.4298
165	gpt3	0.9858	0.4545
165	gpt4	0.9867	0.3802
165	llama-chat	0.9863	0.3719
165	mistral	0.9831	0.4711
165	mistral-chat	0.9870	0.4050
165	mpt	0.9764	0.3058
165	mpt-chat	0.9859	0.3140
165	MACRO_AVG	0.9832	0.3869
165	GLOBAL_TPR_AT_1FPR	-	0.7400
170	chatgpt	0.9853	0.2231
170	cohere	0.9721	0.2975
170	cohere-chat	0.9848	0.2727
170	gpt2	0.9809	0.4298
170	gpt3	0.9862	0.4215
170	gpt4	0.9852	0.1818
170	llama-chat	0.9839	0.1157
170	mistral	0.9820	0.4959
170	mistral-chat	0.9865	0.2975
170	mpt	0.9782	0.4876
170	mpt-chat	0.9866	0.3471
170	MACRO_AVG	0.9829	0.3246
170	GLOBAL_TPR_AT_1FPR	-	0.5071
175	chatgpt	0.9981	0.8926
175	cohere	0.9814	0.8017
175	cohere-chat	0.9952	0.8182
175	gpt2	0.9894	0.7107
175	gpt3	0.9964	0.8512
175	gpt4	0.9989	0.9339
175	llama-chat	0.9988	0.9587
175	mistral	0.9906	0.7521
175	mistral-chat	0.9977	0.8760
175	mpt	0.9816	0.5868
175	mpt-chat	0.9956	0.7603
175	MACRO_AVG	0.9930	0.8129
175	GLOBAL_TPR_AT_1FPR	-	0.9098
180	chatgpt	0.9943	0.8017
180	cohere	0.9777	0.6198
180	cohere-chat	0.9917	0.6777
180	gpt2	0.9870	0.6198
180	gpt3	0.9930	0.7851
180	gpt4	0.9930	0.7438
180	llama-chat	0.9943	0.8595
180	mistral	0.9868	0.5950
180	mistral-chat	0.9942	0.7686
180	mpt	0.9798	0.5207
180	mpt-chat	0.9924	0.6777
180	MACRO_AVG	0.9895	0.6972
180	GLOBAL_TPR_AT_1FPR	-	0.8460
185	chatgpt	0.9877	0.5537
185	cohere	0.9736	0.4628
185	cohere-chat	0.9868	0.5041
185	gpt2	0.9799	0.4380
185	gpt3	0.9861	0.5372
185	gpt4	0.9878	0.5207
185	llama-chat	0.9873	0.5868
185	mistral	0.9792	0.3884
185	mistral-chat	0.9884	0.5785
185	mpt	0.9717	0.4050
185	mpt-chat	0.9874	0.4793
185	MACRO_AVG	0.9833	0.4959
185	GLOBAL_TPR_AT_1FPR	-	0.5222
190	chatgpt	0.9874	0.4876
190	cohere	0.9773	0.4711
190	cohere-chat	0.9864	0.4876
190	gpt2	0.9807	0.4876
190	gpt3	0.9878	0.5950
190	gpt4	0.9870	0.4215
190	llama-chat	0.9870	0.4711
190	mistral	0.9835	0.4545
190	mistral-chat	0.9879	0.5124
190	mpt	0.9741	0.5041
190	mpt-chat	0.9872	0.4545
190	MACRO_AVG	0.9842	0.4861
190	GLOBAL_TPR_AT_1FPR	-	0.6664
195	chatgpt	0.9870	0.3636
195	cohere	0.9749	0.4380
195	cohere-chat	0.9850	0.3719
195	gpt2	0.9807	0.5207
195	gpt3	0.9895	0.5702
195	gpt4	0.9861	0.2562
195	llama-chat	0.9867	0.2727
195	mistral	0.9843	0.5207
195	mistral-chat	0.9876	0.3636
195	mpt	0.9776	0.4959
195	mpt-chat	0.9874	0.3967
195	MACRO_AVG	0.9843	0.4155
195	GLOBAL_TPR_AT_1FPR	-	0.9482
200	chatgpt	0.9926	0.6860
200	cohere	0.9798	0.5950
200	cohere-chat	0.9895	0.5868
200	gpt2	0.9881	0.6777
200	gpt3	0.9939	0.7521
200	gpt4	0.9898	0.4628
200	llama-chat	0.9918	0.6446
200	mistral	0.9891	0.6612
200	mistral-chat	0.9923	0.6364
200	mpt	0.9792	0.5702
200	mpt-chat	0.9921	0.6446
200	MACRO_AVG	0.9889	0.6289
200	GLOBAL_TPR_AT_1FPR	-	0.9091
