step	attack	AUROC
115	alternative_spelling	0.9964
120	no_attack	0.9961
120	t5_paraphrase	1.0000
120	synonym_replacement	0.9942
120	homoglyphs	0.9976
120	article_deletion	0.9969
120	misspelling	0.9967
120	number_swap	0.9958
120	whitespace_addition	0.9978
120	upper_lower_swap	0.9964
120	zero_width_space	0.9971
120	insert_paragraphs	0.9950
120	alternative_spelling	0.9961
125	no_attack	0.9976
125	t5_paraphrase	1.0000
125	synonym_replacement	0.9979
125	homoglyphs	0.9991
125	article_deletion	0.9988
125	misspelling	0.9989
125	number_swap	0.9976
125	whitespace_addition	0.9991
125	upper_lower_swap	0.9988
125	zero_width_space	0.9991
125	insert_paragraphs	0.9970
125	alternative_spelling	0.9976
130	no_attack	0.9940
130	t5_paraphrase	1.0000
130	synonym_replacement	0.9945
130	homoglyphs	0.9970
130	article_deletion	0.9963
130	misspelling	0.9964
130	number_swap	0.9940
130	whitespace_addition	0.9981
130	upper_lower_swap	0.9957
130	zero_width_space	0.9973
130	insert_paragraphs	0.9940
130	alternative_spelling	0.9941
135	no_attack	0.9998
135	t5_paraphrase	1.0000
135	synonym_replacement	0.9998
135	homoglyphs	1.0000
135	article_deletion	0.9997
135	misspelling	0.9999
135	number_swap	0.9998
135	whitespace_addition	1.0000
135	upper_lower_swap	1.0000
135	zero_width_space	1.0000
135	insert_paragraphs	0.9994
135	alternative_spelling	0.9998
140	no_attack	0.9998
140	t5_paraphrase	1.0000
140	synonym_replacement	0.9998
140	homoglyphs	1.0000
140	article_deletion	0.9997
140	misspelling	0.9999
140	number_swap	0.9998
140	whitespace_addition	1.0000
140	upper_lower_swap	1.0000
140	zero_width_space	1.0000
140	insert_paragraphs	0.9993
140	alternative_spelling	0.9998
145	no_attack	0.9998
145	t5_paraphrase	1.0000
145	synonym_replacement	0.9998
145	homoglyphs	1.0000
145	article_deletion	0.9997
145	misspelling	0.9999
145	number_swap	0.9998
145	whitespace_addition	1.0000
145	upper_lower_swap	1.0000
145	zero_width_space	1.0000
145	insert_paragraphs	0.9992
145	alternative_spelling	0.9998
150	no_attack	0.9998
150	t5_paraphrase	1.0000
150	synonym_replacement	0.9998
150	homoglyphs	1.0000
150	article_deletion	0.9997
150	misspelling	0.9999
150	number_swap	0.9998
150	whitespace_addition	1.0000
150	upper_lower_swap	1.0000
150	zero_width_space	1.0000
150	insert_paragraphs	0.9994
150	alternative_spelling	0.9998
155	no_attack	0.9998
155	t5_paraphrase	1.0000
155	synonym_replacement	0.9998
155	homoglyphs	1.0000
155	article_deletion	0.9997
155	misspelling	0.9999
155	number_swap	0.9998
155	whitespace_addition	1.0000
155	upper_lower_swap	1.0000
155	zero_width_space	1.0000
155	insert_paragraphs	0.9994
155	alternative_spelling	0.9998
160	no_attack	0.9998
160	t5_paraphrase	1.0000
160	synonym_replacement	0.9998
160	homoglyphs	1.0000
160	article_deletion	0.9997
160	misspelling	0.9999
160	number_swap	0.9998
160	whitespace_addition	1.0000
160	upper_lower_swap	1.0000
160	zero_width_space	1.0000
160	insert_paragraphs	0.9993
160	alternative_spelling	0.9998
165	no_attack	0.9998
165	t5_paraphrase	1.0000
165	synonym_replacement	0.9998
165	homoglyphs	1.0000
165	article_deletion	0.9997
165	misspelling	0.9999
165	number_swap	0.9998
165	whitespace_addition	1.0000
165	upper_lower_swap	1.0000
165	zero_width_space	1.0000
165	insert_paragraphs	0.9994
165	alternative_spelling	0.9998
170	no_attack	0.9998
170	t5_paraphrase	1.0000
170	synonym_replacement	0.9998
170	homoglyphs	1.0000
170	article_deletion	0.9997
170	misspelling	0.9999
170	number_swap	0.9998
170	whitespace_addition	1.0000
170	upper_lower_swap	1.0000
170	zero_width_space	1.0000
170	insert_paragraphs	0.9993
170	alternative_spelling	0.9998
